1976 01 10    330.053    350.182    725.990    745.519     12.468
1976 01 11    342.144    376.149    784.005    806.134     20.022
1976 01 12    362.167    395.049    836.577    861.392     25.407
1976 01 13    366.056    387.721    816.094    837.056     20.181
1976 01 14    357.228    379.963    788.407    807.886     15.839
1976 01 15    352.207    379.667    779.025    798.579     13.385
1976 01 16    360.477    402.558    810.265    833.546     13.152
1976 01 17    363.395    421.853    833.380    862.670     13.252
1976 01 18    357.166    397.394    801.808    829.134     12.818
1976 01 19    348.283    370.342    762.373    784.129     11.795
1976 01 20    344.085    374.289    763.254    784.640     11.980
1976 01 21    346.756    390.498    786.590    812.715     13.417
1976 01 22    376.944    428.926    872.488    907.298     20.186
1976 01 23    437.757    542.246   1079.764   1130.289     31.652
1976 01 24    458.965    575.128   1138.753   1196.010     33.338
1976 01 25    421.659    515.640   1017.857   1061.360     25.985
1976 01 26    383.493    459.772    905.075    935.018     19.783
1976 01 27    365.944    440.614    858.282    882.776     15.426
1976 01 28    357.641    424.235    828.821    852.106     12.913
1976 01 29    352.452    408.993    806.657    829.270     12.197
1976 01 30    347.716    394.361    786.324    808.358     11.927
1976 01 31    345.787    381.781    772.117    793.896     12.097
1976 02 01    341.346    351.174    736.357    757.805     12.001
1976 02 02    336.169    333.560    712.902    734.035     11.826
1976 02 03    332.661    344.228    719.798    741.256     11.826
1976 02 04    330.512    350.610    723.956    746.152     11.911
1976 02 05    328.626    353.122    723.987    746.115     11.800
1976 02 06    327.933    357.245    727.409    749.315     11.821
1976 02 07    326.905    358.511    728.096    750.070     12.017
1976 02 08    324.492    340.310    707.827    731.151     12.054
1976 02 09    322.714    347.721    714.320    745.079     11.969
1976 02 10    318.971    369.713    730.972    762.169     11.487
1976 02 11    317.871    380.198    742.496    770.300     12.187
1976 02 12    315.308    385.215    743.690    770.000     11.906
1976 02 13    316.331    425.788    791.781    829.778     14.153
1976 02 14    316.186    465.496    835.799    883.326     15.749
1976 02 15    311.232    429.595    788.150    825.299     13.470
1976 02 16    307.468    395.842    746.029    773.755     11.773
1976 02 17    311.880    400.987    755.843    780.464     11.625
1976 02 18    317.836    400.132    760.743    784.423     11.339
1976 02 19    315.874    392.982    750.846    774.236     11.074
1976 02 20    312.429    386.629    742.172    765.462     11.434
1976 02 21    309.768    379.889    734.559    757.989     11.869
1976 02 22    308.609    356.746    712.818    737.474     12.637
1976 02 23    308.878    345.167    703.874    730.132     14.079
1976 02 24    306.953    356.171    710.108    736.295     13.724
1976 02 25    303.485    359.482    706.360    732.120     12.388
1976 02 26    301.632    360.372    704.496    730.275     12.091
1976 02 27    300.647    359.856    702.364    727.975     12.007
1976 02 28    300.718    360.107    702.344    728.006     12.144
1976 02 29    301.572    344.222    686.962    712.543     12.277
1976 03 01    302.729    341.582    684.404    709.125     12.012
1976 03 02    303.086    361.983    703.745    727.058     11.498
1976 03 03    300.183    370.234    707.754    729.589     10.968
1976 03 04    293.741    370.478    700.352    720.816     10.480
1976 03 05    284.521    364.165    683.634    702.854      9.966
1976 03 06    273.600    352.462    659.884    678.102      9.467
1976 03 07    264.320    322.423    619.637    637.232      9.080
1976 03 08    257.740    302.830    592.727    609.851      8.800
1976 03 09    252.355    307.084    591.012    607.713      8.619
1976 03 10    247.392    304.715    583.133    599.435      8.466
1976 03 11    242.591    300.365    573.449    589.371      8.312
1976 03 12    238.330    297.571    566.166    581.733      8.243
1976 03 13    235.705    296.446    562.736    578.010      8.397
1976 03 14    233.851    278.659    542.867    557.911      8.476
1976 03 15    232.171    265.186    527.191    542.099      8.291
1976 03 16    231.037    278.595    539.299    554.793      8.264
1976 03 17    230.587    287.809    547.841    563.384      8.259
1976 03 18    230.582    294.310    553.988    569.324      8.190
1976 03 19    234.739    312.442    576.704    592.205      8.603
1976 03 20    235.657    315.178    579.949    595.134      8.434
1976 03 21    227.513    290.472    546.304    560.618      8.073
1976 03 22    217.804    280.178    525.734    539.906      7.819
1976 03 23    212.212    290.617    530.166    544.378      7.639
1976 03 24    208.502    292.481    527.907    541.882      7.501
1976 03 25    205.614    291.305    523.771    537.560      7.543
1976 03 26    204.841    290.409    522.140    535.948      7.692
1976 03 27    206.777    288.407    521.638    535.297      7.549
1976 03 28    207.826    269.181    503.123    516.544      7.474
1976 03 29    209.248    264.209    499.364    512.835      7.474
1976 03 30    214.493    286.188    526.293    539.878      7.416
1976 03 31    221.875    304.279    551.401    564.916      7.315
1976 04 01    230.612    321.594    577.292    590.777      7.352
1976 04 02    238.691    337.827    601.365    614.803      7.305
1976 04 03    243.888    352.453    620.715    633.938      7.087
1976 04 04    244.177    354.390    622.440    635.307      6.875
1976 04 05    246.101    378.535    648.093    661.047      6.679
1976 04 06    249.375    412.683    685.084    697.756      6.504
1976 04 07    252.400    439.958    714.928    727.145      6.340
1976 04 08    248.460    453.717    724.376    736.257      6.213
1976 04 09    238.768    454.836    715.446    726.944      6.096
1976 04 10    232.951    436.789    691.234    702.352      5.995
1976 04 11    229.145    396.261    646.569    657.357      5.895
1976 04 12    226.522    365.321    612.686    623.211      5.805
1976 04 13    225.086    358.378    604.004    614.329      5.714
1976 04 14    224.965    359.751    605.002    615.260      5.635
1976 04 15    226.191    381.206    627.434    637.641      5.555
1976 04 16    228.767    394.136    642.660    652.722      5.476
1976 04 17    233.050    381.952    634.479    644.359      5.391
1976 04 18    238.670    367.610    625.478    635.160      5.317
1976 04 19    244.016    367.267    630.207    639.700      5.237
1976 04 20    248.032    390.967    657.654    666.949      5.163
1976 04 21    250.425    408.074    676.893    686.006      5.089
1976 04 22    250.088    419.347    687.581    696.516      5.020
1976 04 23    249.384    424.696    692.002    701.085      4.951
1976 04 24    258.521    433.310    715.698    730.572      6.907
1976 04 25    272.672    425.390    731.324    754.964      9.876
1976 04 26    285.439    437.893    756.907    786.499     10.162
1976 04 27    295.673    443.732    768.766    798.310      9.420
1976 04 28    287.115    421.995    732.432    755.001      6.912
1976 04 29    276.572    401.844    699.540    716.609      6.032
1976 04 30    272.145    383.803    676.480    690.711      5.852
1976 05 01    270.724    367.642    658.538    671.630      5.746
1976 05 02    271.629    342.756    634.207    646.737      5.640
1976 05 03    274.120    330.522    624.125    636.197      5.539
1976 05 04    275.620    341.367    636.145    647.865      5.444
1976 05 05    279.570    356.182    654.595    666.021      5.349
1976 05 06    289.903    378.240    686.679    697.829      5.259
1976 05 07    301.404    408.201    727.833    738.713      5.168
1976 05 08    310.571    447.294    775.804    786.434      5.084
1976 05 09    319.619    475.352    812.622    823.007      4.999
1976 05 10    327.838    504.152    849.366    859.544      4.919
1976 05 11    345.301    557.794    920.253    931.077      4.850
1976 05 12    365.924    599.785    982.636    994.217      4.787
1976 05 13    371.264    619.922   1007.857   1018.257      4.718
1976 05 14    366.125    613.107    995.665   1005.628      4.649
1976 05 15    364.551    590.577    971.315    980.998      4.580
1976 05 16    369.918    550.879    936.752    946.207      4.511
1976 05 17    375.803    524.147    915.669    924.920      4.442
1976 05 18    380.232    526.325    922.055    931.102      4.379
1976 05 19    384.371    538.110    939.945    949.545      5.036
1976 05 20    387.814    552.375    961.343    971.123      6.107
1976 05 21    389.571    563.043    971.327    980.735      5.163
1976 05 22    390.921    564.888    973.257    982.530      4.813
1976 05 23    392.213    535.260    943.745    952.768      4.575
1976 05 24    389.985    502.378    908.051    916.868      4.495
1976 05 25    384.946    494.152    894.470    903.163      4.426
1976 05 26    381.565    479.681    876.411    884.979      4.363
1976 05 27    376.017    462.170    853.133    861.525      4.299
1976 05 28    368.625    445.261    828.632    836.854      4.241
1976 05 29    363.283    429.061    806.885    815.002      4.182
1976 05 30    362.747    409.532    786.632    794.635      4.119
1976 05 31    365.256    410.033    789.465    797.322      4.066
1976 06 01    383.471    470.391    870.864    879.076      4.956
1976 06 02    423.734    574.622   1017.776   1027.150      5.481
1976 06 03    453.340    619.569   1090.895   1100.029      4.776
1976 06 04    451.216    619.618   1086.588   1094.815      4.357
1976 06 05    438.369    610.422   1063.620   1071.627      4.267
1976 06 06    430.443    560.460   1005.374   1013.212      4.198
1976 06 07    422.118    518.435    954.789    962.462      4.129
1976 06 08    418.154    503.345    935.521    943.031      4.061
1976 06 09    417.563    493.004    924.367    931.728      3.997
1976 06 10    425.157    512.101    950.858    958.165      3.933
1976 06 11    433.978    533.187    980.562    987.756      3.870
1976 06 12    431.534    530.879    975.613    982.654      3.811
1976 06 13    426.456    514.554    954.019    960.926      3.753
1976 06 14    425.054    507.549    945.425    952.190      3.695
1976 06 15    424.539    517.783    954.957    961.596      3.642
1976 06 16    424.126    520.980    957.555    964.065      3.583
1976 06 17    422.707    518.098    953.087    959.477      3.530
1976 06 18    420.514    507.628    940.252    946.524      3.483
1976 06 19    418.138    494.047    924.123    930.279      3.430
1976 06 20    414.851    467.443    894.074    900.118      3.382
1976 06 21    410.817    450.165    872.603    878.543      3.334
1976 06 22    406.463    453.444    871.373    877.211      3.287
1976 06 23    402.448    453.353    867.113    872.848      3.239
1976 06 24    398.600    451.874    861.636    867.272      3.196
1976 06 25    394.570    447.934    853.513    859.054      3.149
1976 06 26    390.172    440.110    841.149    846.598      3.106
1976 06 27    384.716    416.181    811.619    816.974      3.064
1976 06 28    378.234    398.604    787.420    792.687      3.022
1976 06 29    371.087    398.635    780.176    785.361      2.984
1976 06 30    364.223    393.520    768.059    773.162      2.942
1976 07 01    357.498    388.057    755.743    760.764      2.905
1976 07 02    350.864    382.081    743.003    747.945      2.868
1976 07 03    344.297    373.691    727.922    732.786      2.831
1976 07 04    337.021    350.667    697.495    702.285      2.794
1976 07 05    329.182    335.954    674.826    679.544      2.756
1976 07 06    321.178    338.658    669.400    674.047      2.719
1976 07 07    313.766    335.501    658.721    663.300      2.688
1976 07 08    306.782    329.610    645.728    650.241      2.650
1976 07 09    300.673    323.927    633.873    638.342      2.619
1976 07 10    296.073    320.141    625.563    630.013      2.587
1976 07 11    290.706    302.230    602.120    606.500      2.555
1976 07 12    288.873    295.268    593.174    597.480      2.529
1976 07 13    294.286    396.613    706.581    712.965      3.493
1976 07 14    294.933    446.239    761.878    769.981      3.912
1976 07 15    286.078    438.030    738.662    744.777      2.963
1976 07 16    278.946    441.777    732.116    737.232      2.725
1976 07 17    273.603    445.370    729.311    734.190      2.703
1976 07 18    277.013    487.716    785.896    790.717      3.371
1976 07 19    315.059    594.335    949.597    954.654      4.776
1976 07 20    342.118    557.776    927.866    932.901      3.652
1976 07 21    333.791    549.130    905.033    909.859      3.430
1976 07 22    380.285    696.752   1101.045   1109.522      5.015
1976 07 23    503.454    905.111   1438.017   1452.968      6.669
1976 07 24    529.958    935.284   1493.064   1506.330      6.207
1976 07 25    488.808    950.187   1461.430   1471.183      4.983
1976 07 26    563.326   1079.843   1668.699   1684.232      6.303
1976 07 27    651.213   1106.204   1781.592   1799.058      5.985
1976 07 28    622.815   1046.432   1687.442   1699.672      4.670
1976 07 29    560.359    960.653   1537.544   1546.759      4.241
1976 07 30    537.101    879.295   1432.381   1440.411      4.103
1976 07 31    537.346    812.246   1365.843   1373.608      4.262
1976 08 01    563.658    774.719   1355.303   1363.007      4.394
1976 08 02    576.264    731.455   1323.989   1331.537      4.182
1976 08 03    555.771    683.509   1255.014   1262.353      4.045
1976 08 04    536.641    630.299   1182.335   1189.471      3.960
1976 08 05    526.586    582.040   1123.703   1130.645      3.886
1976 08 06    518.390    538.906   1072.073   1078.832      3.811
1976 08 07    507.055    498.579   1020.100   1026.682      3.732
1976 08 08    494.239    448.115    956.511    962.920      3.658
1976 08 09    483.491    415.379    912.736    918.981      3.583
1976 08 10    481.361    431.552    926.530    932.812      3.525
1976 08 11    503.118    475.681    992.245    998.441      3.472
1976 08 12    511.342    508.332   1032.910   1038.883      3.408
1976 08 13    487.640    511.408   1012.032   1017.854      3.345
1976 08 14    474.375    494.148    981.243    986.919      3.281
1976 08 15    477.380    464.902    954.777    960.321      3.228
1976 08 16    482.378    472.566    967.243    972.664      3.175
1976 08 17    479.709    507.520    999.388   1004.773      3.143
1976 08 18    474.596    519.767   1006.433   1012.008      3.128
1976 08 19    479.258    523.455   1014.909   1021.279      3.112
1976 08 20    491.072    518.263   1021.976   1029.223      3.143
1976 08 21    482.118    486.682    980.939    988.364      3.080
1976 08 22    462.360    433.779    907.955    914.075      3.027
1976 08 23    445.492    395.604    852.686    858.421      2.969
1976 08 24    432.126    383.420    826.928    832.508      2.916
1976 08 25    421.982    370.430    803.591    809.031      2.868
1976 08 26    413.418    358.551    782.944    788.253      2.815
1976 08 27    405.998    348.079    766.626    771.912      3.578
1976 08 28    401.538    338.083    759.709    769.531      6.748
1976 08 29    400.143    326.380    755.366    775.130      9.786
1976 08 30    409.863    365.208    802.887    824.093      9.096
1976 08 31    411.871    431.596    864.103    884.231      6.430
1976 09 01    420.966    501.899    938.711    958.233      4.564
1976 09 02    457.328    606.997   1084.872   1111.837      6.414
1976 09 03    478.155    660.674   1160.163   1183.249      7.029
1976 09 04    481.187    679.888   1178.064   1195.525      5.009
1976 09 05    472.139    642.154   1130.413   1143.643      4.453
1976 09 06    458.721    607.480   1082.021   1092.874      4.347
1976 09 07    445.213    578.721   1039.330   1049.417      4.246
1976 09 08    434.975    543.030    993.054   1002.796      4.145
1976 09 09    441.277    527.365    985.909   1000.764      4.744
